P63101	DisProt	DP02943
P19594	DisProt	DP01154
O60239	DisProt	DP02850
Q13541	DisProt	DP00028
Q13542	DisProt	DP01293
P27682	DisProt	DP01557
Q676U5	DisProt	DP02148
P01023	DisProt	DP02649
P05067	DisProt	DP01280
P08592	DisProt	DP01887
P30542	DisProt	DP02651
P29274	DisProt	DP01547
P32357	DisProt	DP02721
O65934	DisProt	DP01947
Q09427	DisProt	DP01429
Q09428	DisProt	DP02881
O60706	DisProt	DP02381
Q9NYB9	DisProt	DP02386
Q00955	DisProt	DP00557
Q9BYF1	DisProt	DP02854
P07140	DisProt	DP00346
Q07912	DisProt	DP01772
P24005	DisProt	DP02687
Q97ZL0	DisProt	DP00513
O14672	DisProt	DP02318
P35611	DisProt	DP00240
P35612	DisProt	DP00241
P07248	DisProt	DP00077
Q16186	DisProt	DP00839
P55197	DisProt	DP02852
P42568	DisProt	DP01070
P51825	DisProt	DP02349
Q9UHB7	DisProt	DP01463
O29867	DisProt	DP01200
Q9UKV8	DisProt	DP00736
P35869	DisProt	DP00381
O70200	DisProt	DP02956
Q12476	DisProt	DP02464
Q05753	DisProt	DP02920
P31751	DisProt	DP00304
P49189	DisProt	DP02783
Q8LBP4	DisProt	DP00662
P53954	DisProt	DP00618
Q84ZX5	DisProt	DP00807
O24172	DisProt	DP00580
Q9JJW6	DisProt	DP03043
P55789	DisProt	DP02875
P50490	DisProt	DP02941
Q9NP70	DisProt	DP02558
P45561	DisProt	DP00693
Q9C0C7	DisProt	DP01328
Q9BTT0	DisProt	DP02409
Q9UJX6	DisProt	DP01526
P10275	DisProt	DP00492
P16860	DisProt	DP00551
P01160	DisProt	DP00747
Q9Y5C1	DisProt	DP02665
P04083	DisProt	DP01951
P19619	DisProt	DP01963
P07355	DisProt	DP02735
Q61548	DisProt	DP01073
Q05140	DisProt	DP00225
P35585	DisProt	DP02898
P19880	DisProt	DP01584
P62944	DisProt	DP02887
P84092	DisProt	DP00455
P0DTC3	DisProt	DP03003
Q96N21	DisProt	DP02404
P41780	DisProt	DP02667
P60006	DisProt	DP01454
Q96DE5	DisProt	DP01455
Q9UJX5	DisProt	DP01478
Q9UJX4	DisProt	DP01443
Q9UJX3	DisProt	DP01479
P25054	DisProt	DP00519
P27695	DisProt	DP00007
Q9BZZ5	DisProt	DP02894
Q8IW19	DisProt	DP01465
P02655	DisProt	DP01883
Q9JM54	DisProt	DP01281
P62330	DisProt	DP02815
O23661	DisProt	DP02380
Q8N726	DisProt	DP02167
Q64364	DisProt	DP00335
O66493	DisProt	DP00559
P80428	DisProt	DP00872
Q12406	DisProt	DP00874
Q9H981	DisProt	DP00873
P17870	DisProt	DP00390
P32120	DisProt	DP02263
